genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149	c150	c151	c152	c153	c154	c155	c156	c157	c158	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c176	c177	c178	c179	c180	c181	c182	c183	c184	c185	c186	c187	c188	c189	c190	c191	c192	c193	c194	c195	c196	c197	c198	c199
g0	-1.8366	-1.84641	-1.95996	-1.59929	-1.39181	-0.945306	-1.00128	-0.548353	0.0631421	0.293258	0.622313	1.23594	1.31987	1.29326	1.60825	1.95996	1.56874	1.52224	1.49318	1.31614	1.54354	1.7309	1.67741	1.41476	0.752948	0.52494	0.499501	0.501011	0.658531	0.478725	0.556023	0.582877	0.49075	0.594214	0.523372	0.550067	0.688468	0.58432	0.830917	0.763223	0.598103	0.632102	0.703439	0.433291	0.641423	0.550408	0.557744	0.590218	0.696419	0.480538	0.618292	0.530734	0.599438	0.644145	0.425468	0.736227	0.647131	0.348326	0.514595	0.62667	0.604914	0.396817	0.638285	0.596116	0.556129	0.461855	0.644122	0.436748	0.449519	0.275532	0.622187	0.231467	0.494084	0.488239	0.68149	0.515238	0.364264	0.547901	0.533421	0.486785	0.512151	0.627851	0.632867	0.556547	0.72202	0.52238	0.590562	0.48959	0.673978	0.424197	0.506489	0.477528	0.604656	0.50711	0.548794	0.497598	0.379461	0.433939	0.632976	0.273661	0.657657	0.43585	0.367407	0.556456	0.479629	0.436804	0.387995	0.521192	0.561829	0.607263	0.40117	0.469866	0.567019	0.392292	0.636902	0.435852	0.424894	0.550303	0.5048	0.48413	0.523618	0.774329	0.43115	0.496287	0.694706	0.504973	0.420386	0.424256	0.441921	0.279947	0.466719	0.387404	0.487878	0.517523	0.559986	0.305708	0.574541	0.443547	0.645858	0.551753	0.607192	0.620064	0.405151	0.45967	0.638236	0.436133	0.526766	0.43992	0.470185	0.65847	0.54242	0.590672	0.485557	0.524862	0.435818	0.423406	0.558992	0.532605	0.377101	0.505412	0.353586	0.692896	0.635641	0.594339	0.606231	0.517942	0.705659	0.294956	0.414896	0.319204	0.431798	0.564524	0.61655	0.64686	0.511734	0.39496	0.63252	0.523024	0.395863	0.6778	0.751542	0.36785	0.424494	0.387809	0.679831	0.641628	0.625129	0.303042	0.476465	0.486782	0.409714	0.679633	0.440637	0.564524	0.616285	0.297389	0.600473	0.391881	0.414452	0.420943
g1	-1.2869	-1.52662	-1.95996	-1.42494	-0.467863	-0.134584	-0.301722	-0.266294	0.217037	0.586513	0.608904	0.86963	1.65236	1.3909	1.83034	1.95996	1.2396	0.968996	0.755388	0.58426	0.701127	1.28466	0.951445	0.770481	-0.312389	0.427071	0.393332	0.610786	0.645138	0.686968	0.392139	0.81327	0.579227	0.509316	0.524283	0.494048	0.433559	0.404472	0.467905	0.491046	0.46145	0.661545	0.410205	0.711511	0.498028	0.519354	0.593464	0.224666	0.445348	0.53007	0.788627	0.559841	0.494121	0.443013	0.585391	0.333677	0.284975	0.558938	0.597622	0.535408	0.465858	0.456791	0.568157	0.515214	0.650693	0.506857	0.653533	0.696473	0.667138	0.594515	0.526139	0.357112	0.24473	0.652997	0.525365	0.678463	0.463645	0.449238	0.466396	0.35208	0.469567	0.226308	0.456475	0.547976	0.541649	0.511779	0.640326	0.583867	0.297462	0.631198	0.331311	0.747845	0.43005	0.612878	0.753951	0.558749	0.651422	0.685467	0.680035	0.52532	0.568133	0.487704	0.657096	0.513215	0.438572	0.389856	0.541596	0.432179	0.618853	0.634263	0.477794	0.58868	0.485189	0.461866	0.531942	0.534415	0.610564	0.573377	0.534034	0.426543	0.463891	0.657467	0.617103	0.346773	0.888464	0.713678	0.431114	0.515725	0.540775	0.802679	0.543518	0.540179	0.676425	0.657384	0.572403	0.505824	0.538075	0.459233	0.489928	0.484654	0.493643	0.561842	0.449805	0.634401	0.710661	0.506356	0.732632	0.541244	0.667673	0.474256	0.468298	0.531982	0.694413	0.777241	0.476111	0.670256	0.545626	0.468	0.696044	0.597094	0.438615	0.498767	0.557072	0.700231	0.541064	0.391638	0.487514	0.469678	0.380864	0.395837	0.455119	0.590831	0.505166	0.610388	0.750633	0.42468	0.514629	0.580332	0.70378	0.518333	0.290379	0.477278	0.292481	0.499641	0.491407	0.585187	0.425978	0.473766	0.456882	0.351852	0.404787	0.759259	0.508932	0.47041	0.462001	0.726756	0.679224	0.598304	0.608269	0.463328
g2	-1.42547	-1.76886	-1.95996	-1.92247	-1.78926	-1.42953	-1.78533	-1.70507	-1.38092	-1.00999	-0.697935	0.285078	0.686102	0.162538	0.327848	1.44177	1.16126	0.927487	0.590389	0.293802	1.76405	1.95996	1.03275	0.975831	0.885256	0.361072	0.464539	0.432792	0.435921	0.32814	0.445527	0.57256	0.647851	0.599292	0.639289	0.431664	0.64048	0.700116	0.459663	0.50314	0.664854	0.726137	0.580003	0.544312	0.640491	0.365251	0.4489	0.520072	0.601436	0.602191	0.499503	0.761666	0.525857	0.49107	0.420182	0.484823	0.521685	0.708944	0.558314	0.613253	0.547586	0.740396	0.364627	0.468554	0.768	0.551641	0.759781	0.527151	0.23926	0.868611	0.401664	0.455187	0.647079	0.732366	0.546685	0.493578	0.64472	0.58019	0.42521	0.433878	0.453269	0.678032	0.297586	0.68746	0.495273	0.579306	0.436555	0.197322	0.616708	0.597183	0.476511	0.5523	0.590341	0.40886	0.736791	0.514527	0.723029	0.556616	0.595828	0.582756	0.654615	0.5815	0.641655	0.440559	0.73672	0.585669	0.612846	0.741403	0.409348	0.682937	0.419745	0.529521	0.670566	0.487061	0.287069	0.517115	0.442769	0.554719	0.461688	0.361348	0.579243	0.662209	0.538342	0.57296	0.600984	0.666965	0.746633	0.530828	0.458056	0.395416	0.483471	0.435071	0.487824	0.47685	0.521639	0.356491	0.761431	0.544817	0.453147	0.613609	0.519145	0.491821	0.535347	0.453121	0.523891	0.318545	0.462651	0.516282	0.562965	0.476572	0.505846	0.608396	0.597592	0.697678	0.478087	0.678323	0.427227	0.634876	0.645928	0.236102	0.460169	0.418395	0.476776	0.532654	0.419328	0.550926	0.538402	0.497354	0.603548	0.595081	0.655612	0.578665	0.630106	0.489734	0.603546	0.798427	0.631292	0.880621	0.552671	0.715463	0.374145	0.371032	0.68295	0.539491	0.762885	0.598153	0.373289	0.726867	0.619856	0.560159	0.517559	0.590866	0.389876	0.728077	0.615438	0.525537	0.577344	0.562897	0.733772	0.742865
g3	-1.82594	-1.95665	-1.95996	-1.37037	-1.14558	-0.236547	-0.310945	-0.0262815	0.396546	0.658296	0.878055	1.46339	1.71642	1.6402	1.79999	1.95996	1.27153	-0.138527	-0.705166	-0.950728	-0.447585	-0.251821	-0.372226	-0.435126	-0.511488	0.510705	0.59165	0.665601	0.459981	0.652976	0.521725	0.467593	0.470847	0.513334	0.457692	0.611513	0.361141	0.765196	0.734975	0.515204	0.545086	0.537953	0.687104	0.661979	0.577386	0.473085	0.653481	0.427923	0.335231	0.512652	0.689577	0.540158	0.591416	0.558435	0.70531	0.434836	0.457274	0.339602	0.602173	0.639075	0.519359	0.583606	0.754507	0.514378	0.600597	0.460444	0.535543	0.824698	0.506382	0.422503	0.392201	0.555875	0.530297	0.776313	0.486547	0.441568	0.327394	0.366825	0.613845	0.707744	0.444401	0.492817	0.579001	0.552563	0.739774	0.380409	0.86147	0.302255	0.37411	0.580711	0.626686	0.778157	0.56713	0.633694	0.737508	0.4612	0.180584	0.565957	0.499912	0.580685	0.443846	0.549977	0.208321	0.531467	0.401545	0.418915	0.408095	0.606554	0.395691	0.524396	0.629152	0.650442	0.682039	0.511746	0.526626	0.68443	0.25831	0.6139	0.56501	0.45558	0.404745	0.524372	0.481587	0.709287	0.529136	0.606345	0.60728	0.447005	0.723699	0.367756	0.715627	0.506063	0.56754	0.415088	0.497951	0.791748	0.611772	0.7418	0.686833	0.516593	0.648287	0.467629	0.683872	0.71564	0.598695	0.42835	0.408422	0.60148	0.536523	0.763645	0.491902	0.472653	0.729762	0.63872	0.439864	0.509427	0.496428	0.672166	0.415053	0.381465	0.709601	0.534994	0.63391	0.488457	0.727966	0.493814	0.376605	0.694244	0.556223	0.521952	0.492756	0.632869	0.547861	0.63546	0.516347	0.542422	0.557576	0.411577	0.443454	0.727453	0.38194	0.56522	0.482027	0.597761	0.497744	0.689191	0.296076	0.578231	0.590896	0.608395	0.582453	0.379695	0.564941	0.488494	0.444716	0.607887	0.576938	0.652808	0.58314	0.587869
g4	-0.679116	-1.79461	-1.95996	-1.39694	-1.13125	-0.969061	-1.52733	-0.464079	-0.200534	0.0331799	1.26718	1.58254	1.88326	1.76146	1.93809	1.95996	1.64671	1.39826	1.36672	1.19325	1.51271	1.63912	1.15221	0.987926	0.176619	0.69066	0.511777	0.324823	0.686913	0.428302	0.532029	0.558679	0.491626	0.503317	0.650218	0.471232	0.533181	0.554317	0.562161	0.414818	0.522024	0.781232	0.535947	0.431484	0.737279	0.463099	0.553953	0.432451	0.263458	0.411481	0.518479	0.384449	0.455565	0.526564	0.521876	0.523219	0.358442	0.693888	0.552428	0.482711	0.614498	0.532054	0.588979	0.74552	0.492502	0.578412	0.363513	0.617984	0.5505	0.560596	0.692347	0.486729	0.638251	0.632544	0.629978	0.489946	0.828761	0.789977	0.39982	0.530038	0.36432	0.276551	0.51246	0.865929	0.554089	0.63055	0.617422	0.408729	0.58085	0.716067	0.783289	0.571998	0.410467	0.743101	0.586199	0.644094	0.629645	0.606647	0.357054	0.536509	0.725592	0.50636	0.634681	0.527839	0.49733	0.302846	0.39313	0.564603	0.616936	0.594548	0.480037	0.588474	0.839633	0.551549	0.439051	0.689799	0.396648	0.563181	0.580704	0.651103	0.495445	0.579158	0.510325	0.591664	0.65699	0.684279	0.671145	0.445042	0.494627	0.507831	0.723704	0.53569	0.476351	0.695278	0.547194	0.614887	0.417173	0.722019	0.539725	0.771001	0.562368	0.504728	0.553116	0.506746	0.504987	0.672819	0.442801	0.707696	0.504387	0.611473	0.633827	0.346244	0.314442	0.313468	0.725996	0.672633	0.479747	0.527092	0.627494	0.531351	0.391306	0.530006	0.48852	0.676342	0.506725	0.575971	0.451025	0.389564	0.402259	0.571407	0.675906	0.273724	0.729518	0.334965	0.685974	0.534863	0.492001	0.497522	0.432228	0.543456	0.535131	0.432686	0.669426	0.537865	0.641353	0.445293	0.416342	0.49687	0.497719	0.482735	0.432369	0.610821	0.563641	0.675863	0.638565	0.440047	0.747262	0.634634	0.400494	0.434219
g5	-1.67416	-1.81641	-1.95996	-1.48855	-1.30151	-1.11017	-1.58588	-1.39294	-1.23685	-0.85009	-0.0363812	0.241795	0.457832	0.119423	0.686629	0.79143	0.649563	0.526405	0.468401	0.386091	1.5869	1.95996	1.79961	1.47172	1.36461	0.698	0.53773	0.355166	0.570922	0.512138	0.483348	0.654488	0.395427	0.590546	0.807562	0.530395	0.551089	0.398184	0.564674	0.631775	0.638174	0.524423	0.71727	0.817387	0.727851	0.661935	0.699432	0.42895	0.64667	0.52348	0.561404	0.456912	0.463863	0.541713	0.370564	0.590046	0.625104	0.556363	0.627469	0.534895	0.479199	0.465488	0.691855	0.441139	0.412941	0.361888	0.344276	0.455696	0.451127	0.22489	0.403576	0.509233	0.529656	0.657466	0.512775	0.641472	0.696161	0.486563	0.481944	0.278638	0.706514	0.457133	0.315276	0.407661	0.31506	0.539913	0.412403	0.649708	0.680003	0.661583	0.355798	0.246432	0.596944	0.548462	0.651311	0.632473	0.33665	0.565577	0.466634	0.276316	0.387201	0.570143	0.680379	0.586768	0.40328	0.608457	0.523299	0.639533	0.584183	0.563761	0.657737	0.572592	0.530707	0.56535	0.566912	0.41141	0.475071	0.511745	0.648512	0.915238	0.462506	0.444192	0.493286	0.504346	0.398007	0.487778	0.476647	0.625796	0.476966	0.676078	0.691418	0.418691	0.678853	0.524177	0.369126	0.682977	0.616061	0.626431	0.500905	0.526724	0.766612	0.536494	0.699779	0.477914	0.379305	0.571072	0.43268	0.504706	0.524379	0.566603	0.501155	0.464922	0.695227	0.61955	0.327899	0.510473	0.528419	0.535761	0.464698	0.779623	0.560024	0.57002	0.495424	0.664891	0.758928	0.610632	0.586895	0.774803	0.537136	0.456288	0.466883	0.590615	0.559687	0.426072	0.637836	0.587908	0.509847	0.675859	0.4601	0.715522	0.639263	0.506372	0.445626	0.460046	0.339568	0.597734	0.457752	0.561134	0.416029	0.42315	0.535823	0.626722	0.420211	0.421423	0.541571	0.497504	0.483415	0.700452	0.492608	0.666658
g6	-1.51773	-1.79469	-1.95996	-1.66313	-1.08043	-0.928161	-1.25703	0.712582	1.02098	1.25642	1.5603	1.65244	1.72995	1.13715	1.27195	1.95996	1.57235	1.54864	1.14252	0.791448	0.967956	1.23248	0.665465	0.555771	0.38406	0.228558	0.529145	0.606752	0.268309	0.451578	0.393972	0.459296	0.550662	0.574806	0.712851	0.743243	0.621915	0.477857	0.527652	0.50885	0.411315	0.292559	0.619202	0.436094	0.62828	0.775322	0.607482	0.607311	0.35103	0.301418	0.616734	0.507647	0.555352	0.486712	0.443043	0.68478	0.528969	0.409552	0.579054	0.58816	0.466516	0.354171	0.670356	0.527695	0.484497	0.632288	0.548076	0.636376	0.530411	0.699169	0.554363	0.367608	0.618924	0.436496	0.480111	0.70208	0.442447	0.583829	0.277963	0.586403	0.3803	0.558461	0.383089	0.610208	0.481418	0.480326	0.673951	0.483314	0.398492	0.639897	0.499219	0.339022	0.543083	0.456066	0.693035	0.513206	0.511711	0.484014	0.444047	0.650755	0.519796	0.710188	0.400741	0.772834	0.72786	0.483482	0.339931	0.708315	0.495261	0.882165	0.409541	0.557183	0.631134	0.5649	0.603054	0.49561	0.717629	0.435285	0.534915	0.321352	0.49985	0.548742	0.421058	0.424992	0.274191	0.43239	0.388942	0.654229	0.515219	0.692072	0.615641	0.486938	0.625565	0.534063	0.345362	0.341042	0.435679	0.688543	0.51712	0.470069	0.555825	0.713896	0.444088	0.683932	0.620518	0.546291	0.495576	0.566911	0.601042	0.599558	0.430805	0.465681	0.45745	0.642041	0.535384	0.468299	0.478157	0.683442	0.753489	0.5235	0.303171	0.663604	0.57776	0.359704	0.54182	0.430316	0.423387	0.614952	0.500225	0.619958	0.560967	0.581999	0.633694	0.604393	0.449358	0.381615	0.590815	0.160873	0.432193	0.705284	0.483956	0.762247	0.528774	0.699432	0.433264	0.546262	0.582606	0.523157	0.349982	0.383777	0.707632	0.706618	0.447972	0.613523	0.408903	0.309036	0.540902	0.613743	0.521133	0.599807
g7	-0.823498	-1.04786	-1.95996	-1.75783	-1.21289	-0.705992	-1.84641	-1.6618	-1.51869	-1.07116	0.0664868	0.664929	1.1145	0.550576	1.68911	1.95996	1.33398	1.15576	0.10953	-0.437428	-0.110336	0.209325	-0.152659	-0.554215	-1.12516	0.522609	0.632237	0.520965	0.596447	0.499174	0.646002	0.751542	0.512171	0.550431	0.576113	0.333915	0.674644	0.408504	0.507534	0.472402	0.524465	0.531194	0.455115	0.610723	0.653574	0.561526	0.682173	0.72801	0.601887	0.5459	0.396797	0.445383	0.708409	0.619325	0.498284	0.529024	0.566277	0.412834	0.313605	0.555139	0.470652	0.408933	0.403815	0.39777	0.612504	0.566233	0.470266	0.739984	0.49532	0.628316	0.593512	0.622349	0.341976	0.637336	0.57135	0.545182	0.573113	0.635634	0.551152	0.51748	0.523338	0.615482	0.575204	0.444963	0.242203	0.524277	0.429854	0.208987	0.608515	0.40268	0.464786	0.620693	0.685263	0.601012	0.49208	0.547186	0.757764	0.609959	0.304742	0.551171	0.690008	0.56642	0.53647	0.393043	0.810974	0.485633	0.719412	0.475617	0.727329	0.606034	0.407807	0.611033	0.603254	0.464849	0.248625	0.722456	0.595289	0.717291	0.427227	0.217359	0.488328	0.578818	0.377774	0.582671	0.486596	0.390551	0.57832	0.520187	0.569557	0.580964	0.519757	0.483924	0.593466	0.606062	0.724168	0.537351	0.590844	0.506562	0.645885	0.458215	0.500562	0.498333	0.167271	0.578161	0.414192	0.565149	0.320554	0.606171	0.563936	0.441203	0.805153	0.478246	0.581067	0.404526	0.697472	0.415604	0.783729	0.666892	0.416053	0.472946	0.687163	0.38638	0.612108	0.645528	0.554016	0.434701	0.731781	0.47974	0.590652	0.508227	0.580615	0.689276	0.446766	0.412126	0.521918	0.444008	0.494113	0.679527	0.584167	0.559485	0.581369	0.359938	0.434063	0.535839	0.572029	0.53049	0.689537	0.440979	0.509598	0.699611	0.478474	0.562654	0.500743	0.399152	0.454201	0.749817	0.546172	0.361269	0.565787	0.608985
g8	-0.938147	-1.17632	-1.95996	-1.38774	-1.0096	-0.68349	-1.23149	-1.1655	-0.360687	-0.168015	-0.0613085	0.585207	1.22834	1.02175	1.09668	1.95996	1.40366	1.22688	1.11428	0.872049	1.21482	1.77784	1.47829	1.14511	0.771483	0.663828	0.450206	0.612537	0.587126	0.440404	0.454957	0.523779	0.394702	0.54598	0.548924	0.528457	0.466076	0.525497	0.702974	0.430178	0.611299	0.577474	0.324309	0.702527	0.432752	0.370727	0.461673	0.416811	0.410825	0.566903	0.734191	0.533481	0.643564	0.544845	0.685628	0.374865	0.6387	0.558826	0.701777	0.526135	0.490712	0.539417	0.518481	0.479129	0.630267	0.613103	0.659948	0.283669	0.27848	0.649169	0.511438	0.620282	0.353354	0.390744	0.623956	0.418168	0.630281	0.440789	0.609603	0.551011	0.394184	0.629246	0.510499	0.607226	0.709014	0.358183	0.601234	0.455424	0.578025	0.752562	0.495217	0.347644	0.757232	0.511539	0.488352	0.5362	0.572476	0.455302	0.43715	0.490242	0.575381	0.436042	0.520863	0.686571	0.44886	0.537084	0.459039	0.577864	0.468724	0.702681	0.612626	0.604777	0.607128	0.517969	0.476074	0.471096	0.653905	0.624391	0.506126	0.578013	0.617508	0.62069	0.479772	0.320806	0.461942	0.521245	0.656421	0.740098	0.644693	0.533289	0.495444	0.437499	0.477178	0.662118	0.663927	0.584003	0.420686	0.710477	0.624352	0.486692	0.691032	0.546489	0.764412	0.549624	0.7175	0.433697	0.566303	0.522933	0.560921	0.616029	0.449247	0.29617	0.651926	0.397768	0.558694	0.659039	0.542245	0.603639	0.57657	0.533717	0.564865	0.567991	0.43174	0.540452	0.686789	0.436105	0.381029	0.718507	0.225161	0.622087	0.72493	0.475989	0.722734	0.768837	0.591696	0.391561	0.596898	0.612324	0.633657	0.519103	0.57955	0.555875	0.564942	0.612763	0.590452	0.654017	0.617104	0.509867	0.625748	0.71893	0.548798	0.527673	0.540526	0.443057	0.462047	0.841866	0.510129	0.599647	0.519122	0.419269
g9	-1.55181	-1.72962	-1.94656	-1.83881	-1.79561	-1.59789	-1.95996	-1.56048	-1.02158	-0.629879	0.300706	0.698771	0.985958	0.959586	1.66626	1.95996	1.77369	1.76355	1.57052	1.08121	1.09233	1.19396	1.05968	0.875304	0.708871	0.731786	0.608769	0.432014	0.332864	0.754833	0.303733	0.472713	0.54175	0.500964	0.59312	0.681429	0.46143	0.325579	0.381326	0.65296	0.594462	0.745552	0.605697	0.510298	0.471654	0.417625	0.404021	0.468656	0.464951	0.768126	0.844886	0.517778	0.713366	0.536108	0.55393	0.660965	0.621619	0.392433	0.502629	0.458809	0.662608	0.682609	0.563369	0.349056	0.47405	0.84137	0.545358	0.546398	0.493216	0.675542	0.575376	0.462531	0.499763	0.494519	0.549833	0.70691	0.404759	0.81164	0.575612	0.561227	0.646229	0.471857	0.435243	0.605882	0.648521	0.55367	0.566599	0.722572	0.696356	0.560089	0.522408	0.65491	0.493847	0.481061	0.395756	0.488873	0.495999	0.291372	0.439375	0.482978	0.537131	0.537368	0.632738	0.54923	0.426108	0.656135	0.59879	0.618852	0.399163	0.565844	0.810791	0.466446	0.338005	0.6646	0.439589	0.467772	0.595379	0.493407	0.72984	0.475509	0.669316	0.677551	0.646851	0.551172	0.640688	0.231268	0.51819	0.491171	0.438529	0.742614	0.630708	0.771349	0.53438	0.712505	0.501306	0.588071	0.543404	0.525531	0.672083	0.550897	0.597721	0.329535	0.271759	0.459188	0.39047	0.696787	0.606256	0.584536	0.531168	0.293308	0.643504	0.506724	0.483042	0.716721	0.561058	0.46996	0.489685	0.636654	0.513474	0.606916	0.80791	0.365901	0.62665	0.472244	0.639432	0.894906	0.483504	0.529802	0.71945	0.312201	0.618826	0.389226	0.612953	0.349425	0.525805	0.663328	0.727005	0.831297	0.430839	0.640802	0.693822	0.51573	0.677645	0.362711	0.564817	0.510785	0.400028	0.552543	0.697752	0.304166	0.682764	0.36542	0.353213	0.699128	0.501975	0.632758	0.68891	0.522646	0.565509	0.641022
