V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.58575201608593	0	0	0	0	0	-8.47452258078254	-4.58847299070986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.97018888968399	0	0	0	-6.35108734689086	0	-4.96044054035081	0	0	0	0	0	0	0	-5.16471980872907	0	0	0	0	0	0	0	0	0	0	0	-2.38712322266409	0	0	0	0	-0.753358099882358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7896737903924	0	0	0	0	0	16.3697446489990	8.86328763310855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.66898402982583	0	0	0	12.2680277409198	0	9.58179581422356	0	0	0	0	0	0	0	9.97639025049535	0	0	0	0	0	0	0	0	0	0	0	4.61106773015387	0	0	0	0	1.45521822695887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	-4.07995340587438	0	-9.34665373721847	0	-5.86561153300649	-6.41016567922352	-4.18691686435314	-16.1264331063864	0	0	0	-0.847326656027425	0	-3.8058755636411	0	0	0	0	-2.07279934387450	-5.07942435127808	0	-5.928460978220	-17.6283823973665	0	0	0	-10.9026261527651	-4.67476025657769	0	0	0	0	-6.44120377729989	0	-17.4056708568579	0	0	-21.9155405544387	0	-5.94122158293361	0	0	0	0	-12.3916754957495	-8.62903865681566	-2.01856041091474	0	0	-6.65482666341562	0	-7.26294582225176	0	0	0	-7.40541660481	0	0	0	0	0	0	-13.3537382629374	0	0	0	0	-21.3119519570649	-3.87842076090820	-16.4330382535410	-7.59954326448493	0	0	0	0	0	0	0	0	-5.49690600642609	-7.28853336553095	-5.37554685981648	-8.30998752300452	0	0	0	-3.84982416257975	0	0	-7.47988092276254	0	-15.6652199299205	0	-4.69289703519621	-15.2256224435106	0	0
5	-9.79274087741745	0	0	0	-22.1908181799808	0	0	0	0	0	0	-16.5623569334497	0	-12.3186606209319	0	-3.82818086493084	0	0	0	0	0	0	-11.5819216327565	-7.6095572515432	0	0	0	0	0	0	0	0	-7.98822016566679	0	0	0	-17.9279906685878	0	0	0	0	0	0	-12.5272947408674	-17.3763495487134	0	-16.2262763576752	-10.1950591373548	-11.0742770441932	0	0	0	0	0	0	-8.29985410274803	0	0	0	0	0	0	0	0	-11.5205160640946	0	0	0	0	0	-13.5962921363304	-14.6422289318876	0	0	0	0	0	-8.16490219891443	0	0	-11.6751984325679	0	-10.3978325706012	-3.83331189222807	0	0	0	1.33464176562407	-7.12367272778729	0	0	0	0	0	0	0	0	0	-9.46936268254024	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	-0.898284620673292	0	0	0	-1.29143353043131	0	-0.921834798865805	-1.02641722376889	0	0	0	-0.186556175543589	0	0	0	0	0	0	-0.456368881483614	0	0	-1.30527111249092	0	0	0	0	0	0	0	0	0	0	-1.41816185533893	0	-1.86722702955755	0	0	-1.35972657701690	0	-1.30808061883190	0	0	0	0	0	-1.89985814677499	0	0	0	0	0	-1.59908505903976	0	0	0	0	0	0	0	0	0	0	-0.700490109497887	0	0	0	0	-2.35695118048828	-0.85391311503892	0	-1.67319382343905	0	0	0	0	0	0	0	0	-1.21025551903355	0	-1.18353583767138	0	0	0	0	0	0	0	-1.64684772814095	0	0	0	0	-1.34949711126385	0	0
8	0	0	0	0	0	-8.70590483520636	0	0	-5.97072427739616	0	-10.6785733003279	0	0	0	0	0	-3.5449682210606	0	0	0	0	0	0	0	0	-16.4198892849722	0	0	0	-10.1552093838508	0	0	0	0	0	0	0	-8.31300871927422	0	0	-14.6607263409681	0	0	0	0	0	0	-9.33240459551074	0	-1.88018036568118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9.47481514335536	0	0	0	0	-9.8796864410393	0	-7.84277592077195	0	0	0	0	0	0	0	0	0	0	-6.78887649553842	0	-7.74030605937045	0	0	0	0	0	0	0	0	-8.9939998046904	0	0	-8.47270421466587	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	-6.9758932748368	0	0	-4.78423967651898	0	-8.55655891956964	0	0	0	0	0	-2.84052266144725	0	0	0	0	0	0	0	0	-13.1569776381420	0	0	0	-8.1371963266682	0	0	0	0	0	0	0	-6.66107230852474	0	0	-11.7473903312841	0	0	0	0	0	0	-7.47789686289814	0	-1.50655650580915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.59200800950265	0	0	0	0	-7.916424485004	0	-6.28428277558448	0	0	0	0	0	0	0	0	0	0	-5.43981111502714	0	-6.20217542080001	0	0	0	0	0	0	0	0	-7.20673886736049	0	0	-6.78903358922003	0	0
