genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149	c150	c151	c152	c153	c154	c155	c156	c157	c158	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c176	c177	c178	c179	c180	c181	c182	c183	c184	c185	c186	c187	c188	c189	c190	c191	c192	c193	c194	c195	c196	c197	c198	c199
g0	0.521574	0.153404	0.0920424	0.184085	0.429531	0.644297	0.36817	0.76702	0.613616	0.245446	0.490893	0.214766	0.705658	0.276127	0.460212	0.736339	0.306808	0.39885	0.337489	0.0306808	0.582935	0.122723	0.552254	0.0613616	0.674978	0.425981	0.570881	0.750981	0.374441	0.442719	0.532126	0.318824	0.582806	0.580559	0.455164	0.6764	0.32162	0.583407	0.481893	0.602626	0.386961	0.347111	0.623685	0.30182	0.629189	0.329627	0.453416	0.60051	0.435762	0.489841	0.59216	0.70165	0.485209	0.679565	0.616717	0.564058	0.514482	0.61809	0.345883	0.256256	0.760515	0.550093	0.347397	0.279149	0.386676	0.366526	0.489082	0.297673	0.505234	0.393063	0.334422	0.499971	0.630739	0.449174	0.537796	0.404647	0.657882	0.480103	0.461399	0.439197	0.376116	0.459788	0.378981	0.443233	0.299078	0.346497	0.478949	0.637336	0.557324	0.473394	0.590709	0.509539	0.64594	0.657861	0.556177	0.53974	0.653138	0.271044	0.446641	0.562881	0.534932	0.452383	0.639075	0.486376	0.443922	0.545718	0.331609	0.39455	0.18718	0.592296	0.489048	0.388912	0.678904	0.601609	0.364537	0.574564	0.357885	0.405501	0.439707	0.540113	0.425011	0.564735	0.434896	0.429464	0.368161	0.449246	0.368072	0.446533	0.478971	0.40754	0.707091	0.598242	0.387118	0.255703	0.600359	0.325726	0.566361	0.50426	0.454397	0.56888	0.66325	0.620477	0.6844	0.610018	0.621316	0.293812	0.605482	0.55947	0.458598	0.355703	0.425432	0.417145	0.42122	0.561012	0.343264	0.32037	0.328452	0.594892	0.563144	0.542305	0.495446	0.365872	0.40079	0.317978	0.731633	0.344975	0.309694	0.446137	0.777083	0.4898	0.585677	0.580509	0.502161	0.342933	0.598933	0.656242	0.401471	0.36761	0.498662	0.592999	0.462035	0.4003	0.496124	0.675847	0.488043	0.507491	0.451741	0.618466	0.617576	0.555955	0.377556	0.419165	0.430636	0.530494	0.562065	0.529517	0.603402	0.552737	0.753866	0.639106
g1	0.0789519	0.0232212	0.0139327	0.0278654	0.0650192	0.0975288	0.0557308	0.116106	0.0928846	0.0371538	0.0743077	0.0325096	0.106817	0.0417981	0.0696635	0.111462	0.0464423	0.060375	0.0510865	0.00464423	0.0882404	0.0185769	0.0835961	0.00928846	0.102173	0.621075	0.685417	0.587089	0.577819	0.406335	0.590663	0.589508	0.523808	0.461108	0.471185	0.460831	0.573558	0.531954	0.506316	0.613703	0.464598	0.240645	0.467103	0.504004	0.7597	0.562573	0.504219	0.57435	0.237179	0.579993	0.568871	0.472751	0.703926	0.572628	0.383616	0.744313	0.401356	0.444678	0.47639	0.474474	0.612597	0.429882	0.312358	0.553115	0.491516	0.376631	0.384276	0.542737	0.523709	0.443193	0.287299	0.490328	0.631302	0.411586	0.380229	0.291433	0.594102	0.650164	0.589688	0.437754	0.381009	0.448651	0.403833	0.198564	0.492503	0.415283	0.327752	0.640489	0.789874	0.563182	0.476294	0.458406	0.421346	0.212989	0.53232	0.263539	0.52303	0.256071	0.384337	0.621041	0.508347	0.468873	0.404882	0.422458	0.388347	0.252128	0.714302	0.578911	0.683274	0.596278	0.586495	0.529736	0.210363	0.44125	0.504683	0.408293	0.523771	0.376154	0.513724	0.600139	0.474302	0.556861	0.515451	0.397942	0.490266	0.582456	0.588095	0.455207	0.544707	0.619054	0.480198	0.484677	0.409564	0.432738	0.565941	0.599746	0.453921	0.595078	0.298206	0.567897	0.5411	0.564524	0.694328	0.557953	0.634714	0.387229	0.474439	0.433662	0.530011	0.499801	0.351071	0.451045	0.371523	0.519924	0.47578	0.510639	0.414782	0.566825	0.485797	0.569832	0.842787	0.617478	0.5591	0.688972	0.629534	0.544296	0.770995	0.43919	0.574524	0.520126	0.428985	0.597625	0.584537	0.67416	0.525323	0.581674	0.574254	0.716953	0.179051	0.351654	0.597502	0.485042	0.549281	0.471873	0.691207	0.542165	0.455594	0.371579	0.469267	0.609565	0.261328	0.464048	0.669296	0.467391	0.608882	0.433021	0.490366	0.486175	0.602438	0.396339
g2	-1.05691	-0.310856	-0.186514	-0.373027	-0.870397	-1.30559	-0.746054	-1.55428	-1.24342	-0.497369	-0.994739	-0.435198	-1.42994	-0.559541	-0.932568	-1.49211	-0.621712	-0.808225	-0.683883	-0.0621712	-1.18125	-0.248685	-1.11908	-0.124342	-1.36777	0.673886	0.623775	0.528628	0.609727	0.437312	0.650085	0.531725	0.526143	0.447282	0.412539	0.664876	0.415283	0.514284	0.457801	0.360871	0.381371	0.412666	0.538414	0.540251	0.432161	0.590935	0.469683	0.386214	0.495644	0.333501	0.542844	0.523573	0.520035	0.540869	0.521751	0.513547	0.467139	0.458884	0.591265	0.48248	0.487088	0.359044	0.439909	0.323996	0.481976	0.606055	0.509746	0.826705	0.628557	0.56188	0.662063	0.729842	0.542599	0.565029	0.229453	0.472094	0.521743	0.636332	0.710046	0.541604	0.636903	0.547171	0.628369	0.495841	0.562363	0.514901	0.430886	0.565862	0.494678	0.471254	0.43739	0.411913	0.432239	0.467509	0.601683	0.655055	0.608772	0.494399	0.408119	0.351642	0.581556	0.408784	0.539669	0.611708	0.613759	0.606541	0.470195	0.552191	0.437867	0.807693	0.322052	0.55051	0.626397	0.600559	0.655552	0.548435	0.702553	0.611831	0.324311	0.68183	0.44146	0.568829	0.628547	0.647494	0.462074	0.556421	0.482581	0.524297	0.48389	0.450921	0.543585	0.626225	0.513064	0.599246	0.421076	0.278848	0.640418	0.555645	0.62307	0.477072	0.748248	0.402106	0.537583	0.447734	0.510976	0.450047	0.451475	0.725778	0.380221	0.219135	0.475802	0.480673	0.376934	0.671917	0.580523	0.618848	0.413681	0.525802	0.42492	0.523157	0.386255	0.575359	0.37306	0.642712	0.621085	0.357605	0.420601	0.728245	0.684605	0.184372	0.443882	0.747307	0.613356	0.740229	0.537294	0.467785	0.402566	0.316456	0.461347	0.576682	0.529675	0.34323	0.468384	0.385515	0.478706	0.438224	0.488539	0.814794	0.32629	0.407861	0.682448	0.507216	0.447052	0.723389	0.371153	0.408801	0.613817	0.566582	0.453923	0.534104
g3	-1.03069	-0.303144	-0.181887	-0.363773	-0.848804	-1.27321	-0.727546	-1.51572	-1.21258	-0.485031	-0.970062	-0.424402	-1.39446	-0.54566	-0.909433	-1.45509	-0.606289	-0.788175	-0.666917	-0.0606289	-1.15195	-0.242515	-1.09132	-0.121258	-1.33383	0.411248	0.430874	0.54282	0.390776	0.531052	0.685115	0.533327	0.292201	0.503241	0.469693	0.42133	0.647525	0.600358	0.542977	0.482466	0.600746	0.196195	0.566933	0.67886	0.46224	0.428885	0.544135	0.578957	0.733059	0.472935	0.477241	0.458663	0.419207	0.594719	0.486741	0.358687	0.697065	0.637594	0.56327	0.206326	0.459313	0.37415	0.48242	0.598539	0.542377	0.402969	0.527516	0.242858	0.49553	0.830678	0.606241	0.355088	0.369246	0.496091	0.805653	0.433588	0.568234	0.453073	0.590814	0.507086	0.617513	0.597491	0.218358	0.497687	0.620695	0.505652	0.592806	0.433858	0.485169	0.459731	0.567089	0.585423	0.395359	0.413234	0.434323	0.510055	0.479022	0.379558	0.313471	0.527918	0.50885	0.480827	0.287582	0.479075	0.31504	0.590763	0.420263	0.467965	0.669437	0.697531	0.219798	0.452192	0.398538	0.447341	0.44598	0.45543	0.518932	0.476636	0.73574	0.477901	0.466201	0.41065	0.521628	0.404467	0.34437	0.338472	0.800208	0.578676	0.449978	0.445463	0.766352	0.482481	0.626068	0.491036	0.334355	0.387628	0.556184	0.32365	0.611901	0.39394	0.553685	0.423529	0.632555	0.698837	0.518188	0.480348	0.509694	0.374326	0.405403	0.40313	0.355864	0.600222	0.300139	0.439552	0.546762	0.645716	0.387027	0.48706	0.459283	0.45835	0.59156	0.589087	0.478387	0.465417	0.635975	0.709265	0.388781	0.623441	0.385217	0.578023	0.306098	0.638896	0.417772	0.407674	0.616349	0.527315	0.495613	0.471048	0.625475	0.491365	0.516481	0.81678	0.517865	0.544796	0.49387	0.526123	0.510712	0.323508	0.328562	0.529365	0.71301	0.553891	0.651343	0.530865	0.396179	0.465721	0.298672	0.432001	0.605917	0.469695
g4	0.232362	0.0683419	0.0410051	0.0820103	0.191357	0.287036	0.164021	0.34171	0.273368	0.109347	0.218694	0.0956787	0.314373	0.123015	0.205026	0.328041	0.136684	0.177689	0.150352	0.0136684	0.259699	0.0546735	0.246031	0.0273368	0.300704	0.563768	0.438255	0.535055	0.535609	0.55262	0.38911	0.404008	0.518807	0.442892	0.739202	0.597475	0.417668	0.557224	0.570515	0.412748	0.45596	0.598978	0.685345	0.532515	0.540559	0.477738	0.625492	0.362733	0.485978	0.63055	0.445285	0.49765	0.38993	0.479719	0.593965	0.544947	0.450056	0.548016	0.47143	0.287369	0.515832	0.445541	0.5759	0.51332	0.724243	0.524629	0.797793	0.342427	0.442234	0.55351	0.551365	0.350195	0.476203	0.686761	0.531083	0.349792	0.36114	0.600159	0.556619	0.444779	0.53985	0.703547	0.470269	0.296964	0.452204	0.398529	0.547737	0.708883	0.368045	0.497563	0.700455	0.420916	0.426914	0.622799	0.363947	0.540507	0.701929	0.571543	0.357934	0.674806	0.442317	0.741123	0.388053	0.564276	0.580626	0.557398	0.467363	0.505268	0.326838	0.581358	0.598358	0.615615	0.50355	0.261047	0.560625	0.355719	0.543959	0.470913	0.537994	0.412972	0.446312	0.650165	0.676003	0.612018	0.421697	0.56867	0.593832	0.372096	0.317581	0.666318	0.466233	0.451332	0.423941	0.513117	0.682925	0.417778	0.363921	0.49904	0.709455	0.61717	0.591858	0.587429	0.344948	0.428564	0.544615	0.637206	0.389636	0.394921	0.338633	0.379538	0.558952	0.707717	0.596732	0.264633	0.402197	0.500267	0.413986	0.578456	0.760975	0.645301	0.574851	0.449085	0.404987	0.204799	0.426025	0.532281	0.361187	0.31788	0.893229	0.556161	0.56274	0.311553	0.449379	0.48899	0.343538	0.489414	0.505536	0.459594	0.397596	0.345725	0.510089	0.509665	0.495864	0.641201	0.522622	0.407417	0.504744	0.319373	0.581051	0.613121	0.281219	0.725501	0.562638	0.65523	0.55446	0.551695	0.482005	0.413426	0.512989	0.461044
g5	1.15943	0.34101	0.204606	0.409212	0.954828	1.43224	0.818424	1.70505	1.36404	0.545616	1.09123	0.477414	1.56865	0.613818	1.02303	1.63685	0.68202	0.886626	0.750222	0.068202	1.29584	0.272808	1.22764	0.136404	1.50044	0.456194	0.692719	0.569713	0.885788	0.48452	0.448721	0.479473	0.628587	0.517048	0.510388	0.682117	0.726921	0.589468	0.707089	0.245699	0.596017	0.593412	0.486268	0.284104	0.611852	0.898736	0.513491	0.610413	0.611457	0.60052	0.526102	0.663771	0.583519	0.383703	0.496371	0.68397	0.306578	0.281258	0.739864	0.551117	0.625575	0.531798	0.589129	0.627935	0.3763	0.531565	0.701422	0.492284	0.446101	0.474123	0.516675	0.281599	0.60967	0.433548	0.45967	0.575184	0.509368	0.579715	0.729674	0.667034	0.565804	0.374841	0.521083	0.441327	0.355095	0.585691	0.350789	0.657624	0.458448	0.497978	0.441938	0.540652	0.510583	0.494372	0.689714	0.551284	0.621076	0.50462	0.420302	0.531006	0.619659	0.452941	0.712735	0.465364	0.602842	0.50709	0.508988	0.514537	0.373739	0.579541	0.5132	0.435599	0.433709	0.596385	0.586648	0.493474	0.497408	0.265644	0.390632	0.559722	0.361031	0.489002	0.752796	0.403887	0.534288	0.415773	0.30745	0.279965	0.552184	0.508856	0.546058	0.64065	0.609932	0.415439	0.475971	0.542986	0.425599	0.4088	0.522934	0.51026	0.621491	0.505391	0.730939	0.597557	0.693109	0.392765	0.516246	0.415404	0.565862	0.445666	0.249707	0.504931	0.801309	0.453877	0.589153	0.79559	0.5248	0.475536	0.435121	0.562987	0.260542	0.616792	0.583392	0.47729	0.4235	0.494071	0.325603	0.435537	0.519733	0.671737	0.403798	0.579975	0.504332	0.63474	0.649566	0.451903	0.332144	0.867107	0.587265	0.622069	0.69442	0.359336	0.522618	0.454366	0.461013	0.552379	0.277748	0.520534	0.629001	0.281759	0.611934	0.545852	0.336679	0.44331	0.472624	0.465517	0.294372	0.407309	0.324093	0.472687
g6	-0.0751364	-0.0220989	-0.0132594	-0.0265187	-0.061877	-0.0928155	-0.0530374	-0.110495	-0.0883957	-0.0353583	-0.0707166	-0.0309385	-0.101655	-0.0397781	-0.0662968	-0.106075	-0.0441979	-0.0574572	-0.0486177	-0.00441979	-0.083976	-0.0176791	-0.0795562	-0.00883957	-0.0972353	0.222423	0.507953	0.682031	0.499625	0.448492	0.529648	0.547045	0.291957	0.419127	0.47846	0.37538	0.540171	0.541404	0.583389	0.273369	0.50788	0.581883	0.637934	0.684791	0.588574	0.550024	0.686455	0.439566	0.41331	0.459026	0.527897	0.546223	0.457929	0.382661	0.411074	0.652639	0.375434	0.699467	0.32002	0.594187	0.453658	0.566789	0.778035	0.295464	0.409269	0.563277	0.59514	0.475373	0.4763	0.566337	0.390681	0.546952	0.366596	0.562622	0.378137	0.486532	0.746071	0.675742	0.479828	0.610776	0.454198	0.444459	0.421649	0.521646	0.357111	0.492708	0.362903	0.553913	0.602421	0.567599	0.55383	0.661777	0.695823	0.289035	0.457565	0.686608	0.380139	0.468846	0.455153	0.567434	0.505651	0.678995	0.491848	0.445249	0.539752	0.189942	0.649141	0.472832	0.612658	0.381512	0.43551	0.617431	0.546143	0.508431	0.567042	0.577242	0.516843	0.418014	0.636877	0.558458	0.447982	0.379273	0.573863	0.437057	0.540885	0.686976	0.363042	0.363202	0.586244	0.327334	0.356478	0.694437	0.373179	0.612851	0.631125	0.614179	0.523121	0.613453	0.730388	0.605429	0.43385	0.465261	0.414045	0.598748	0.519071	0.401749	0.624544	0.49531	0.478024	0.646479	0.541875	0.462702	0.525242	0.572407	0.624998	0.257933	0.34823	0.398306	0.474156	0.482586	0.594845	0.408349	0.307341	0.511522	0.331097	0.396705	0.319939	0.731478	0.512879	0.468512	0.358775	0.494483	0.69562	0.441357	0.423912	0.512402	0.390389	0.575227	0.619725	0.504194	0.474057	0.575616	0.494549	0.532758	0.393382	0.513002	0.387307	0.376923	0.502698	0.322922	0.529738	0.390957	0.394647	0.626317	0.511392	0.439621	0.613591	0.451427	0.517458	0.517504
g7	1.09214	0.321216	0.19273	0.38546	0.899406	1.34911	0.770919	1.60608	1.28487	0.513946	1.02789	0.449703	1.4776	0.57819	0.963649	1.54184	0.642433	0.835163	0.706676	0.0642433	1.22062	0.256973	1.15638	0.128487	1.41335	0.506869	0.595191	0.585216	0.443582	0.602742	0.511221	0.382905	0.59714	0.506208	0.306375	0.525806	0.449992	0.452447	0.772832	0.472319	0.453274	0.499473	0.369922	0.587517	0.419787	0.727312	0.387279	0.599836	0.677956	0.464812	0.693826	0.652938	0.436046	0.507576	0.539102	0.403654	0.292038	0.412633	0.598865	0.367231	0.476398	0.478109	0.464166	0.622077	0.433648	0.477069	0.260354	0.605011	0.370313	0.369458	0.648131	0.459425	0.576469	0.590538	0.471677	0.596308	0.498286	0.47056	0.576517	0.421486	0.573626	0.655758	0.448757	0.391745	0.772601	0.358308	0.446965	0.695963	0.529391	0.532595	0.634193	0.546679	0.490697	0.496742	0.465558	0.451982	0.461141	0.420628	0.542716	0.458156	0.478898	0.451218	0.408466	0.469945	0.561698	0.524496	0.49644	0.541227	0.514129	0.553175	0.289233	0.401231	0.584663	0.506676	0.650317	0.536794	0.601615	0.553209	0.420989	0.512683	0.264593	0.629976	0.522001	0.373907	0.532181	0.35514	0.614518	0.395839	0.293989	0.6682	0.4958	0.555927	0.169516	0.46583	0.597016	0.708087	0.395038	0.450629	0.546779	0.557021	0.576684	0.601448	0.598394	0.713976	0.567189	0.384893	0.380447	0.362906	0.654539	0.542712	0.590674	0.59955	0.658633	0.247056	0.562283	0.552711	0.459839	0.370932	0.460504	0.34565	0.331435	0.445784	0.46749	0.466877	0.645384	0.586092	0.76422	0.47712	0.354124	0.649777	0.408162	0.449599	0.533935	0.51075	0.642093	0.612521	0.415801	0.475798	0.404214	0.484559	0.451508	0.540671	0.501511	0.467224	0.397625	0.430047	0.446458	0.655523	0.36463	0.581253	0.658724	0.486568	0.393217	0.433245	0.626736	0.498928	0.700335	0.521607	0.572797	0.502538
g8	0.955462	0.281018	0.168611	0.337222	0.786851	1.18028	0.674444	1.40509	1.12407	0.449629	0.899259	0.393426	1.29268	0.505833	0.843055	1.34889	0.562037	0.730648	0.61824	0.0562037	1.06787	0.224815	1.01167	0.112407	1.23648	0.458006	0.444105	0.528268	0.678613	0.404	0.390595	0.64522	0.360362	0.632594	0.386892	0.485681	0.369382	0.428441	0.4014	0.594589	0.265263	0.55158	0.465477	0.638714	0.185538	0.631	0.742118	0.675014	0.687438	0.435953	0.463736	0.629849	0.579846	0.596742	0.598939	0.426793	0.596253	0.50363	0.564577	0.709893	0.47975	0.434209	0.427654	0.665776	0.453435	0.491896	0.439829	0.767682	0.553092	0.421389	0.451843	0.443732	0.667141	0.341827	0.391586	0.464286	0.611003	0.58839	0.613499	0.545561	0.581756	0.565016	0.320044	0.344751	0.556008	0.511894	0.208402	0.610747	0.515079	0.390968	0.792346	0.440981	0.316062	0.574968	0.675569	0.451386	0.597471	0.488133	0.472488	0.50083	0.513093	0.753277	0.517466	0.430327	0.493598	0.466627	0.436554	0.537182	0.565305	0.649567	0.468252	0.666858	0.44828	0.353741	0.464854	0.422463	0.474945	0.444963	0.41603	0.639572	0.474434	0.711753	0.462241	0.514682	0.463757	0.449197	0.51684	0.801026	0.35185	0.567758	0.397504	0.593069	0.333175	0.421742	0.490632	0.647175	0.56637	0.504931	0.245507	0.567721	0.353946	0.448315	0.320505	0.465953	0.476183	0.54714	0.458586	0.532619	0.449493	0.495701	0.636867	0.673474	0.631685	0.489984	0.526249	0.407999	0.767125	0.53777	0.449224	0.412989	0.463152	0.425597	0.438934	0.426403	0.520046	0.418606	0.625787	0.490577	0.460531	0.378375	0.275971	0.167183	0.519675	0.497641	0.513691	0.568619	0.296612	0.706222	0.647376	0.459069	0.528921	0.51228	0.436532	0.522911	0.374731	0.476267	0.50028	0.25008	0.425805	0.435579	0.575136	0.561509	0.226191	0.597952	0.380541	0.665266	0.518498	0.484899	0.504115	0.452361
g9	0.358233	0.105363	0.0632176	0.126435	0.295015	0.442523	0.25287	0.526813	0.42145	0.16858	0.33716	0.147508	0.484668	0.189653	0.316088	0.505741	0.210725	0.273943	0.231798	0.0210725	0.400378	0.0842901	0.379305	0.0421451	0.463596	0.512634	0.413604	0.455864	0.398376	0.255836	0.362931	0.67176	0.470502	0.72978	0.433787	0.432842	0.492326	0.465832	0.576528	0.570258	0.413053	0.364045	0.466854	0.543926	0.400247	0.378819	0.341473	0.582765	0.596187	0.54735	0.756124	0.189948	0.540458	0.608642	0.409312	0.555102	0.486366	0.307403	0.437789	0.452759	0.461671	0.411838	0.697674	0.407336	0.67944	0.479898	0.29851	0.490978	0.414719	0.386803	0.414172	0.393097	0.501389	0.425376	0.462542	0.368279	0.585306	0.548115	0.441749	0.667786	0.64604	0.527401	0.461516	0.584721	0.461804	0.399055	0.48168	0.438635	0.394949	0.4367	0.650447	0.460706	0.676628	0.348749	0.452613	0.466478	0.391744	0.680141	0.502825	0.49824	0.611547	0.278228	0.339888	0.605436	0.387582	0.16191	0.421544	0.55467	0.340707	0.375805	0.527642	0.349002	0.430026	0.464573	0.742866	0.559157	0.577609	0.529489	0.630002	0.44227	0.564857	0.555376	0.4483	0.345606	0.51416	0.322863	0.35221	0.406173	0.298693	0.574959	0.567433	0.637888	0.771283	0.678105	0.579785	0.484076	0.323804	0.502333	0.414067	0.620081	0.548339	0.706631	0.487382	0.516429	0.568658	0.389617	0.65839	0.650838	0.458863	0.571533	0.469363	0.739501	0.601291	0.575943	0.567373	0.696299	0.282291	0.487636	0.401157	0.523684	0.548344	0.549562	0.337874	0.342661	0.713032	0.398137	0.612869	0.50947	0.681327	0.674092	0.580385	0.461608	0.660013	0.305421	0.597498	0.497118	0.585866	0.517857	0.413974	0.541322	0.574701	0.497228	0.363919	0.39335	0.596418	0.498699	0.50877	0.314337	0.685146	0.517422	0.357355	0.438321	0.491167	0.576297	0.450425	0.509102	0.506604	0.617647	0.401632	0.66069
