genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99	c100	c101	c102	c103	c104	c105	c106	c107	c108	c109	c110	c111	c112	c113	c114	c115	c116	c117	c118	c119	c120	c121	c122	c123	c124	c125	c126	c127	c128	c129	c130	c131	c132	c133	c134	c135	c136	c137	c138	c139	c140	c141	c142	c143	c144	c145	c146	c147	c148	c149	c150	c151	c152	c153	c154	c155	c156	c157	c158	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c176	c177	c178	c179	c180	c181	c182	c183	c184	c185	c186	c187	c188	c189	c190	c191	c192	c193	c194	c195	c196	c197	c198	c199
g0	0.475474	0.0950949	0.304304	0.323323	0.0380379	0.209209	0.380379	0.0760759	0.418417	0.247247	0.437436	0.152152	0.19019	0.228228	0.285285	0.342341	0.0570569	0.171171	0.019019	0.399398	0.114114	0.133133	0.266266	0.36136	0.456455	0.631241	0.596905	0.258569	0.322386	0.42385	0.666165	0.729379	0.545172	0.524261	0.478469	0.50836	0.540842	0.443471	0.618372	0.650431	0.51442	0.615079	0.388276	0.478181	0.589738	0.357165	0.664708	0.530049	0.407094	0.430492	0.575064	0.570783	0.30429	0.524368	0.327997	0.514743	0.408444	0.659333	0.416153	0.510955	0.409503	0.679755	0.336975	0.596705	0.5352	0.799791	0.690545	0.396766	0.705093	0.431516	0.429894	0.396103	0.264426	0.535157	0.540557	0.529381	0.701222	0.358949	0.444334	0.479238	0.505295	0.505231	0.368243	0.367377	0.440686	0.473282	0.384466	0.529985	0.659704	0.492589	0.472271	0.511567	0.534854	0.328117	0.647159	0.366609	0.343896	0.576732	0.58253	0.432022	0.488831	0.562355	0.680098	0.360916	0.631792	0.291366	0.451164	0.471432	0.515911	0.517924	0.70616	0.589317	0.600065	0.319132	0.542159	0.609843	0.402953	0.455182	0.64566	0.347113	0.268196	0.524748	0.334342	0.375255	0.476892	0.662544	0.583152	0.489862	0.528416	0.268346	0.448274	0.556409	0.535206	0.512153	0.51723	0.466533	0.319716	0.416064	0.649437	0.657578	0.544612	0.598941	0.57167	0.578654	0.616877	0.587503	0.588523	0.410673	0.560614	0.637396	0.404469	0.46795	0.330428	0.547211	0.613433	0.533785	0.434286	0.742908	0.496733	0.515156	0.575983	0.54029	0.41487	0.512663	0.488613	0.446379	0.521955	0.707777	0.517784	0.408076	0.367776	0.556139	0.623351	0.508189	0.504822	0.355498	0.546159	0.431514	0.68332	0.694695	0.580352	0.409009	0.421228	0.514004	0.641819	0.446634	0.510941	0.499135	0.70786	0.509657	0.547136	0.551347	0.471263	0.603557	0.428527	0.527192	0.472905	0.458649	0.346974	0.440519
g1	-1.44823	-0.289646	-0.926868	-0.984797	-0.115859	-0.637222	-1.15859	-0.231717	-1.27444	-0.75308	-1.33237	-0.463434	-0.579293	-0.695151	-0.868939	-1.04273	-0.173788	-0.521363	-0.0579293	-1.21651	-0.347576	-0.405505	-0.81101	-1.10066	-1.3903	0.302665	0.64762	0.594041	0.612494	0.57071	0.614085	0.519408	0.608879	0.687821	0.306079	0.560607	0.396943	0.465973	0.780024	0.448127	0.48808	0.441817	0.475229	0.524655	0.299374	0.583812	0.622851	0.362032	0.59133	0.595209	0.436422	0.726048	0.721281	0.381022	0.598139	0.249768	0.332366	0.5005	0.548286	0.644954	0.416716	0.463691	0.450935	0.417807	0.7507	0.342011	0.580981	0.465519	0.658319	0.606497	0.676325	0.665738	0.600919	0.300484	0.403351	0.704956	0.344009	0.686213	0.458984	0.70173	0.518075	0.473551	0.551171	0.539066	0.550654	0.50111	0.428448	0.589254	0.414167	0.558052	0.527014	0.443864	0.613376	0.349612	0.520095	0.420533	0.242181	0.595978	0.463527	0.640408	0.612575	0.595411	0.423516	0.523483	0.625082	0.582873	0.581901	0.345974	0.475814	0.493281	0.548327	0.501216	0.624451	0.250245	0.190632	0.366626	0.512485	0.552821	0.386894	0.480294	0.43203	0.514074	0.543753	0.606706	0.469667	0.531916	0.392325	0.643547	0.453972	0.464387	0.528814	0.555093	0.708402	0.210316	0.584093	0.601269	0.34641	0.559505	0.501526	0.525674	0.373316	0.332783	0.589589	0.465175	0.464726	0.496724	0.481523	0.458901	0.619577	0.587952	0.475354	0.407484	0.618239	0.379032	0.492495	0.474793	0.487171	0.496174	0.53832	0.594769	0.662859	0.584194	0.550489	0.564324	0.42656	0.429817	0.683695	0.609383	0.440155	0.72539	0.527627	0.570684	0.41465	0.655833	0.307472	0.536969	0.581229	0.359932	0.464571	0.587338	0.500153	0.614507	0.458061	0.511334	0.623791	0.59162	0.554915	0.430512	0.602035	0.611344	0.499904	0.567617	0.498872	0.543765	0.717924	0.593617	0.37475	0.697488	0.52593	0.392154
g2	1.15521	0.231043	0.739336	0.785545	0.0924171	0.508294	0.924171	0.184834	1.01659	0.600711	1.0628	0.369668	0.462085	0.554502	0.693128	0.831754	0.138626	0.415877	0.0462085	0.970379	0.277251	0.32346	0.646919	0.877962	1.109	0.306063	0.225806	0.464068	0.583143	0.598008	0.273915	0.689745	0.524955	0.411283	0.327187	0.630717	0.395798	0.513794	0.486902	0.530845	0.427579	0.474973	0.400175	0.309638	0.638476	0.389424	0.403444	0.407593	0.458135	0.33464	0.500234	0.799102	0.576788	0.642302	0.548869	0.357731	0.52767	0.568271	0.396045	0.456155	0.562065	0.657455	0.276093	0.556661	0.418642	0.475342	0.687176	0.434747	0.4295	0.792277	0.456175	0.618474	0.206877	0.764052	0.63974	0.699919	0.691302	0.513748	0.525729	0.574648	0.540905	0.443525	0.692418	0.437823	0.392848	0.627665	0.59771	0.53637	0.421663	0.441795	0.220932	0.480023	0.435227	0.657269	0.46912	0.471299	0.470496	0.355742	0.550392	0.401247	0.44132	0.48931	0.485945	0.71324	0.595289	0.605757	0.4412	0.532219	0.419181	0.430103	0.571903	0.275168	0.414567	0.382222	0.654001	0.340046	0.698317	0.406605	0.518617	0.489269	0.471485	0.595453	0.554386	0.522044	0.559551	0.838992	0.60855	0.728637	0.559476	0.514568	0.666396	0.542342	0.589028	0.627732	0.605746	0.359042	0.607035	0.301161	0.698804	0.528118	0.680962	0.44392	0.598899	0.501127	0.684477	0.494547	0.599176	0.587794	0.590366	0.580378	0.337813	0.491408	0.332244	0.690485	0.655706	0.37503	0.304457	0.399301	0.530742	0.721676	0.741692	0.503666	0.522591	0.309918	0.622582	0.692411	0.496958	0.641581	0.630193	0.707767	0.562366	0.342229	0.305079	0.557819	0.561919	0.582299	0.552393	0.208259	0.507954	0.336798	0.523876	0.436988	0.466891	0.632551	0.341664	0.452008	0.443786	0.551542	0.45789	0.482644	0.42771	0.576529	0.378324	0.687947	0.529805	0.74675	0.537641	0.425742	0.441025	0.598453
g3	1.74001	0.348001	1.1136	1.1832	0.139201	0.765603	1.39201	0.278401	1.53121	0.904803	1.60081	0.556802	0.696003	0.835203	1.044	1.2528	0.208801	0.626402	0.0696003	1.46161	0.417602	0.487202	0.974404	1.3224	1.67041	0.855482	0.303337	0.476954	0.313939	0.521811	0.78461	0.304102	0.644989	0.46648	0.408633	0.558073	0.420074	0.487404	0.563944	0.608011	0.584795	0.52933	0.482432	0.571364	0.389701	0.494883	0.447693	0.728882	0.187973	0.589222	0.612715	0.556042	0.42934	0.540827	0.423761	0.277282	0.491141	0.442562	0.55654	0.437069	0.507587	0.49508	0.466847	0.422469	0.430691	0.489782	0.610482	0.47339	0.472966	0.462349	0.335152	0.578364	0.403435	0.628832	0.378119	0.451185	0.522323	0.221071	0.64037	0.407391	0.594259	0.259891	0.464831	0.638387	0.544167	0.532526	0.632586	0.504476	0.539228	0.432707	0.558666	0.546051	0.553967	0.569857	0.485694	0.515738	0.491	0.558442	0.512874	0.621205	0.44066	0.554824	0.489764	0.555404	0.479479	0.581864	0.666356	0.744589	0.617249	0.464129	0.716395	0.437994	0.562194	0.422149	0.537537	0.65348	0.491016	0.461137	0.427997	0.586182	0.463796	0.506224	0.657395	0.476097	0.527948	0.641672	0.489099	0.478018	0.557919	0.403476	0.478923	0.621768	0.673377	0.656992	0.486203	0.403101	0.704225	0.614594	0.643552	0.574137	0.531499	0.486449	0.492789	0.444147	0.538603	0.647825	0.434471	0.50183	0.532573	0.569165	0.189492	0.441607	0.705347	0.534051	0.558097	0.544971	0.462473	0.442545	0.615579	0.430811	0.522748	0.589919	0.623535	0.634861	0.621123	0.614057	0.538116	0.707734	0.635407	0.352318	0.641672	0.721048	0.356478	0.50449	0.357499	0.6622	0.45039	0.399183	0.427664	0.596508	0.720401	0.577839	0.336986	0.5985	0.373569	0.367732	0.419495	0.501755	0.658657	0.518012	0.470674	0.565534	0.536292	0.467352	0.635436	0.500872	0.546446	0.531234	0.503599	0.573159
g4	-1.05017	-0.210034	-0.67211	-0.714117	-0.0840138	-0.462076	-0.840138	-0.168028	-0.924151	-0.54609	-0.966158	-0.336055	-0.420069	-0.504083	-0.630103	-0.756124	-0.126021	-0.378062	-0.0420069	-0.882145	-0.252041	-0.294048	-0.588096	-0.798131	-1.00817	0.585307	0.604188	0.78553	0.405291	0.679633	0.502	0.514258	0.471435	0.382237	0.503662	0.686345	0.664593	0.368213	0.485332	0.551898	0.43451	0.566634	0.458339	0.633252	0.596587	0.506316	0.437149	0.636029	0.388257	0.697882	0.609181	0.635998	0.553753	0.383122	0.780216	0.494481	0.565637	0.428732	0.393512	0.649482	0.640481	0.5389	0.209697	0.387457	0.413433	0.528232	0.830861	0.447673	0.482892	0.380589	0.308021	0.596086	0.437886	0.287339	0.527249	0.3013	0.36823	0.45493	0.488497	0.200623	0.271806	0.614956	0.875845	0.691027	0.354645	0.370864	0.474733	0.518369	0.612266	0.570934	0.450338	0.538491	0.537116	0.506182	0.60621	0.732629	0.837196	0.509749	0.296425	0.574352	0.533364	0.471298	0.510602	0.527553	0.706097	0.494065	0.33757	0.411998	0.719717	0.788829	0.370004	0.414429	0.297037	0.462887	0.471359	0.572246	0.155821	0.550332	0.365897	0.556315	0.572102	0.536313	0.553685	0.675723	0.562715	0.666342	0.420658	0.533257	0.500535	0.596387	0.494011	0.600297	0.602147	0.499389	0.59406	0.669981	0.546636	0.284706	0.508426	0.459523	0.320696	0.53443	0.418961	0.377957	0.710643	0.521615	0.491637	0.55089	0.608805	0.626012	0.572581	0.635636	0.464619	0.824331	0.614174	0.509871	0.71034	0.434189	0.476754	0.444565	0.512279	0.402834	0.554993	0.654762	0.687401	0.351441	0.483956	0.44508	0.516808	0.542612	0.527501	0.488167	0.538247	0.68556	0.460309	0.377762	0.410616	0.438219	0.649935	0.401281	0.672901	0.456371	0.698689	0.403791	0.513486	0.535546	0.508657	0.645959	0.568557	0.575883	0.422609	0.533913	0.468021	0.664078	0.542237	0.406405	0.514946	0.537005	0.382221	0.492289
g5	1.52874	0.305748	0.978392	1.03954	0.122299	0.672645	1.22299	0.244598	1.34529	0.794944	1.40644	0.489196	0.611495	0.733794	0.917243	1.10069	0.183449	0.550346	0.0611495	1.28414	0.366897	0.428047	0.856093	1.16184	1.46759	0.49096	0.433912	0.575673	0.215698	0.69199	0.424011	0.367308	0.606591	0.406139	0.541229	0.373021	0.870063	0.35747	0.440015	0.608814	0.601778	0.568217	0.678001	0.507113	0.525272	0.670075	0.453548	0.418205	0.50474	0.647671	0.394241	0.681292	0.475508	0.550083	0.375138	0.76481	0.479822	0.673558	0.432272	0.558753	0.567955	0.617064	0.499178	0.623643	0.538106	0.392438	0.350909	0.361994	0.395437	0.737089	0.669714	0.365601	0.530255	0.604317	0.431076	0.359227	0.479043	0.467167	0.726907	0.458261	0.401457	0.560109	0.53961	0.590421	0.565368	0.551883	0.597219	0.476365	0.371794	0.555596	0.433648	0.463203	0.369689	0.527914	0.531657	0.522633	0.387014	0.410045	0.350741	0.587938	0.508052	0.736057	0.463232	0.361729	0.466016	0.421802	0.544015	0.791919	0.574964	0.634719	0.800007	0.498343	0.655155	0.76689	0.456266	0.51152	0.490448	0.479337	0.696691	0.399287	0.514285	0.539603	0.427236	0.609181	0.509994	0.522615	0.508084	0.301962	0.425868	0.647111	0.578559	0.450976	0.400798	0.528518	0.440222	0.525609	0.561088	0.311897	0.582549	0.745983	0.476613	0.610592	0.430615	0.677551	0.624613	0.376731	0.67409	0.37224	0.677626	0.419749	0.387938	0.368176	0.525504	0.529106	0.134217	0.443384	0.501498	0.502157	0.604431	0.458549	0.853841	0.395036	0.458455	0.464598	0.491237	0.430945	0.456278	0.608696	0.539187	0.562802	0.555423	0.278738	0.369781	0.456438	0.609174	0.315904	0.38131	0.553003	0.485521	0.75804	0.59281	0.418745	0.442227	0.411502	0.445452	0.513481	0.473686	0.571192	0.560199	0.530143	0.356906	0.495187	0.476379	0.698103	0.617613	0.421439	0.655574	0.392908	0.360629	0.243973
g6	1.68253	0.336506	1.07682	1.14412	0.134603	0.740314	1.34603	0.269205	1.48063	0.874917	1.54793	0.53841	0.673013	0.807616	1.00952	1.21142	0.201904	0.605712	0.0673013	1.41333	0.403808	0.471109	0.942218	1.27872	1.61523	0.385562	0.573114	0.504231	0.518402	0.543315	0.603566	0.601903	0.736418	0.338289	0.54935	0.512948	0.490701	0.696438	0.526332	0.67445	0.575606	0.359176	0.565545	0.709074	0.505192	0.450583	0.391648	0.387654	0.610168	0.460738	0.478948	0.482963	0.422839	0.461296	0.732342	0.481623	0.396473	0.49687	0.651493	0.254772	0.614474	0.486761	0.607457	0.544489	0.482215	0.590421	0.306273	0.638323	0.675798	0.463117	0.630715	0.317234	0.593048	0.571279	0.731814	0.688497	0.442465	0.564831	0.619788	0.691061	0.384226	0.733269	0.524614	0.620144	0.316094	0.333625	0.63753	0.622263	0.2561	0.485935	0.374252	0.453138	0.356547	0.553207	0.615097	0.604606	0.627204	0.547991	0.373598	0.378744	0.543227	0.682884	0.531287	0.618712	0.698373	0.488729	0.379816	0.396709	0.546941	0.448144	0.477894	0.375421	0.462797	0.475852	0.715007	0.45024	0.294489	0.53788	0.666291	0.426048	0.544872	0.65035	0.597959	0.58193	0.411437	0.44604	0.557964	0.527617	0.618783	0.603708	0.353526	0.657278	0.440434	0.664265	0.53276	0.510972	0.368047	0.641658	0.493065	0.432212	0.463577	0.320784	0.440263	0.562988	0.505367	0.493341	0.336868	0.315172	0.396682	0.608549	0.466828	0.541205	0.542564	0.256506	0.46855	0.479766	0.701468	0.318678	0.446619	0.473502	0.376946	0.471171	0.415112	0.543739	0.330467	0.554191	0.558208	0.524741	0.357121	0.520774	0.475543	0.477807	0.495559	0.589984	0.52156	0.718719	0.648924	0.600847	0.471262	0.592314	0.53206	0.492545	0.456679	0.565046	0.4112	0.681618	0.560279	0.513844	0.707976	0.270228	0.455939	0.530726	0.554167	0.494258	0.610958	0.565499	0.44708	0.509785	0.457554	0.508793
g7	1.656	0.3312	1.05984	1.12608	0.13248	0.728641	1.3248	0.26496	1.45728	0.861121	1.52352	0.529921	0.662401	0.794881	0.993601	1.19232	0.19872	0.596161	0.0662401	1.39104	0.397441	0.463681	0.927361	1.25856	1.58976	0.637043	0.454961	0.41909	0.475023	0.564201	0.581273	0.465976	0.465781	0.442659	0.443717	0.4961	0.385577	0.614679	0.446751	0.581467	0.285676	0.651669	0.561037	0.343058	0.62949	0.344348	0.768105	0.653733	0.397313	0.445316	0.531933	0.739468	0.593026	0.47126	0.61893	0.509013	0.483555	0.472792	0.520511	0.320541	0.443828	0.557466	0.493587	0.584037	0.479518	0.634799	0.756935	0.414471	0.708243	0.439277	0.605015	0.636932	0.576764	0.337881	0.552455	0.421696	0.353386	0.477588	0.407673	0.585393	0.453914	0.495976	0.483091	0.60472	0.71077	0.54668	0.50651	0.621964	0.58345	0.52112	0.629441	0.435074	0.663164	0.54525	0.708443	0.313716	0.483807	0.370425	0.677786	0.355571	0.53592	0.689703	0.557788	0.245726	0.318279	0.476103	0.768543	0.653892	0.431857	0.41742	0.691362	0.383245	0.643888	0.505539	0.562268	0.367672	0.676022	0.564377	0.585743	0.679665	0.62968	0.527442	0.457938	0.422193	0.630748	0.669465	0.517568	0.321328	0.591889	0.527467	0.519373	0.418447	0.676126	0.66923	0.457446	0.584842	0.567746	0.503932	0.693914	0.586718	0.588025	0.474448	0.424192	0.411627	0.445866	0.57299	0.457939	0.442376	0.597966	0.477583	0.510183	0.581916	0.376412	0.395906	0.50214	0.513179	0.654653	0.724408	0.338144	0.551914	0.452485	0.597612	0.344618	0.468102	0.567459	0.738192	0.466015	0.425162	0.521602	0.290164	0.452334	0.478487	0.689983	0.584505	0.543251	0.503718	0.829551	0.220228	0.66606	0.368679	0.430803	0.589865	0.3531	0.362017	0.515638	0.729318	0.597703	0.62212	0.455492	0.508131	0.357633	0.453808	0.447592	0.3548	0.615462	0.609807	0.693974	0.518237	0.62751	0.583602
g8	0.402032	0.0804064	0.2573	0.273382	0.0321625	0.176894	0.321625	0.0643251	0.353788	0.209057	0.369869	0.12865	0.160813	0.192975	0.241219	0.289463	0.0482438	0.144731	0.0160813	0.337707	0.0964876	0.112569	0.225138	0.305544	0.385951	0.45418	0.459494	0.430648	0.567615	0.521349	0.702281	0.490867	0.615755	0.603356	0.445043	0.647292	0.288072	0.512458	0.256436	0.283523	0.351438	0.554887	0.48904	0.333926	0.275596	0.648093	0.345734	0.399008	0.535617	0.478883	0.642881	0.50462	0.539654	0.481897	0.534349	0.493586	0.394155	0.655543	0.522537	0.547373	0.496217	0.520093	0.735588	0.572786	0.511061	0.426396	0.371433	0.413827	0.671228	0.416477	0.488621	0.483416	0.326858	0.418521	0.516541	0.569142	0.771075	0.599352	0.562325	0.492438	0.483367	0.34855	0.384318	0.532484	0.560569	0.254391	0.516144	0.335048	0.432114	0.219584	0.379177	0.446199	0.598386	0.546391	0.547465	0.493801	0.444114	0.609808	0.364747	0.499014	0.685403	0.58295	0.752463	0.540334	0.517113	0.274834	0.3343	0.433569	0.611503	0.521598	0.449799	0.691877	0.611045	0.660822	0.625525	0.467855	0.511175	0.542064	0.602909	0.517398	0.634137	0.113829	0.590454	0.496778	0.687985	0.542661	0.416207	0.664403	0.524652	0.433908	0.413953	0.388494	0.248277	0.560067	0.591141	0.43245	0.563615	0.501565	0.653622	0.435735	0.497944	0.338605	0.545863	0.489158	0.453415	0.317218	0.416415	0.434349	0.65911	0.735067	0.486627	0.559528	0.565755	0.682766	0.388012	0.530476	0.525684	0.387073	0.607582	0.46756	0.776801	0.592328	0.647327	0.502863	0.555254	0.524178	0.557603	0.641423	0.516433	0.536701	0.4371	0.556728	0.523012	0.550635	0.517064	0.423437	0.537481	0.336296	0.580356	0.516893	0.594931	0.46255	0.507512	0.562742	0.354159	0.675746	0.523207	0.560193	0.502916	0.384923	0.560521	0.570055	0.490318	0.513985	0.594505	0.282707	0.466154	0.499181	0.804012	0.659796
g9	-1.70882	-0.341764	-1.09364	-1.162	-0.136705	-0.75188	-1.36705	-0.273411	-1.50376	-0.888585	-1.57211	-0.546822	-0.683527	-0.820232	-1.02529	-1.23035	-0.205058	-0.615174	-0.0683527	-1.43541	-0.410116	-0.478469	-0.956938	-1.2987	-1.64046	0.541237	0.468635	0.430207	0.559188	0.517684	0.560574	0.454454	0.763276	0.637939	0.25152	0.729385	0.554708	0.60706	0.411355	0.465324	0.648515	0.455304	0.610983	0.694087	0.500066	0.578059	0.523276	0.52627	0.408181	0.594889	0.334993	0.44769	0.563516	0.530073	0.363013	0.478328	0.667897	0.516598	0.493343	0.622225	0.622065	0.352984	0.572171	0.637697	0.560219	0.812321	0.578563	0.650837	0.577232	0.446962	0.311785	0.368381	0.515598	0.563877	0.688819	0.479225	0.652532	0.704867	0.498975	0.574833	0.470998	0.45531	0.424629	0.346393	0.449146	0.624465	0.462191	0.516746	0.719542	0.583352	0.696085	0.405597	0.480916	0.516509	0.771426	0.506108	0.468401	0.469641	0.658853	0.509802	0.310001	0.565701	0.510407	0.545533	0.434795	0.513522	0.423362	0.179772	0.735317	0.392164	0.452176	0.438292	0.644447	0.497401	0.584888	0.456359	0.566311	0.573566	0.585756	0.477393	0.427344	0.51137	0.568675	0.674205	0.482437	0.539874	0.474569	0.573556	0.405295	0.453635	0.633765	0.347058	0.566108	0.408713	0.555465	0.71529	0.2799	0.415953	0.711466	0.280756	0.652703	0.596881	0.454787	0.570476	0.511319	0.615263	0.377317	0.384923	0.488238	0.483287	0.774222	0.609272	0.434639	0.700157	0.50511	0.47426	0.541449	0.577773	0.558733	0.412754	0.366924	0.62204	0.478298	0.380775	0.624355	0.399	0.3858	0.534269	0.533008	0.432458	0.610589	0.519983	0.391871	0.410842	0.396571	0.667744	0.414967	0.756213	0.347522	0.536988	0.396249	0.55846	0.666587	0.478702	0.515848	0.585977	0.531252	0.601775	0.518949	0.306192	0.720497	0.664333	0.406675	0.338627	0.592628	0.521784	0.461779	0.445616	0.389739	0.517861
