genes	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75	c76	c77	c78	c79	c80	c81	c82	c83	c84	c85	c86	c87	c88	c89	c90	c91	c92	c93	c94	c95	c96	c97	c98	c99
g0	-2.08746163419	-1.84175717643	-1.61557770693	-1.21550231727	-0.922822022456	-0.87786770331	-0.437335516434	-0.220469340874	-0.0508328707275	0.103848994431	0.114331583346	0.240425985484	0.387465830182	0.649627062043	0.774067337815	0.487716605512	-0.959836542654	-0.434203493804	0.833527277585	-2.1138891932	0.784362629149	1.61403167171	0.0952895598545	-0.14287506869	0.944617167126	0.488332738366	-0.0663224568549	-0.620287184645	0.0108101321186	-0.539581227445	-0.0937643476551	-0.895355380651	0.760784277599	-0.634003069758	-0.644500271883	0.207432441094	1.23758800711	-0.124435294207	-1.86251807045	0.493965959298	-1.00495968532	0.644846170951	0.46199969136	0.112783321743	0.00952452662123	0.91569285032	-0.570542975863	0.768401533259	1.4997813163	0.35289393155	0.0331530062239	0.276040375238	0.548008091808	-0.31940729333	-1.2171178785	-0.12134926349	0.622227893517	-0.599811264486	0.609801838646	-0.260649486289	-2.82209948369	-1.11779371007	-0.265447496751	-0.135297634054	0.507985072355	0.913666823787	-0.670658196176	0.397412206432	-0.817415902639	-0.324456108407	1.17485191284	-0.770660667284	0.480931257043	0.26763212661	-0.168235982556	-1.87629697169	-0.946352231241	-0.522760344054	-0.667071191076	-0.414795612417	-1.24113455537	0.892932475607	-0.354214329681	1.12601203122	-1.96696993361	0.278734350821	-0.283458770212	1.26559748439	-0.583043085164	0.533211491526	0.513954604885	0.320726215484	-1.36709359751	0.294356657509	-1.04151169193	-0.424113312578	0.167384869522	0.203052011788	-0.186623755627	1.49335912773
g1	-1.65157032444	-1.40416448991	-1.15051351142	-0.383427413661	-0.379631973119	-0.317102580441	-0.197509517343	-0.045718145809	-0.0193745437225	0.0207812342732	0.0565822469831	0.306048798725	1.16232561026	1.34861151638	2.01799388557	-0.497955991442	-0.484638480082	1.54461278046	1.17931822274	-0.96175293618	0.10006393303	2.48278472318	1.08654487447	0.513585649939	0.199031100837	0.444740148798	-1.65266602501	1.11816601925	-0.730924807784	-0.85414410511	0.550365745677	0.0551056289234	0.0932096371396	0.285419598005	1.36749468097	-0.876243264505	2.19323486287	2.84763184449	1.57482388537	-0.604238927883	-1.40720742028	-1.14310071952	0.777038836467	1.0500434691	1.59435428433	-1.52380518875	1.05642824128	-0.647564587188	0.448442980543	-0.690012282954	0.528314056761	-0.385378913462	0.80692055832	-0.285713668134	-0.43867941573	-0.0910032976341	1.29751964584	-0.367176333407	-1.10410468016	-0.348801494894	-0.704533989623	0.803165868906	-0.826244490315	1.46532238218	0.14382305929	0.697940173434	-0.993458103055	-0.115136936793	0.993133445784	0.744957759734	-0.333899727245	0.0451082164445	-0.17300495931	-0.111896767055	0.881106863621	0.317843022024	0.534469787591	-0.97942194214	0.873188304466	-0.402701258108	0.290827512584	0.833215940187	0.449788536711	0.187294190337	-0.663035273717	0.382900220284	1.68518608159	0.105652035867	-0.375865701513	-1.20268627045	0.660576619682	-1.47282145621	-0.530144146317	1.4685892285	0.25303080687	-0.624737740144	0.435305573807	0.64565556288	0.0962614387545	-0.39435707759
g2	-1.79140026983	-1.18238635437	-1.03180337932	-0.994789150818	-0.947915208805	-0.805494958046	-0.683540999243	-0.569177439696	0.0332773503503	0.285211108429	0.312701775191	0.397379132693	0.400094429973	1.13454079973	2.19066470238	-0.295030982632	0.198733579407	0.192432235945	0.839104675856	-0.81783306642	-1.08541580507	0.451635127527	-0.62632114087	0.0286368339995	1.06951101979	-0.111494979847	0.0484092002911	0.927030507203	0.372839052645	0.530085613083	0.859272364599	1.1850876386	-0.404030194219	-0.617415080745	-1.3647764374	0.223003140908	1.13363592194	0.202711421301	1.01699728835	-0.295472199181	0.881821204296	0.200634189097	-0.690094995388	-0.537125616709	-1.2353684147	0.523741724442	0.957819516524	-1.3606739146	2.09867313017	-0.184433730919	1.65440970204	2.53371066202	-1.32987376488	-0.690095830748	-0.232429350982	0.376823775724	-0.224527280043	-1.46640293461	-1.20204205888	0.744199888988	0.0261741555709	0.316972905106	-1.45162670283	-0.620259485162	-0.278251618072	0.724632161979	-2.09010525094	0.5874771402	-1.14633122829	-1.14738685418	1.03547019176	-0.264936876009	0.0855192816964	0.356833093171	0.317962656246	-0.491426100008	0.423869756541	-0.788317023784	0.180277163567	-1.08038148147	1.29440763882	-1.70291678176	0.758696473638	1.84923976324	-1.70580800388	-0.416928059235	1.51479438434	-0.878717265446	0.0848332183637	0.160610799245	-0.27223696016	2.19771584753	-0.788399179207	0.487489851295	-1.73975861568	-1.07536756639	-1.46418817834	-1.17981077556	-0.163747838678	0.272957912849
g3	-2.02714788911	-1.63555457748	-1.39031169079	-1.25367016591	-1.00640763805	-0.810295822003	-0.609253324489	-0.586383604348	-0.398462633198	0.0680036048113	0.354866812129	0.704717798232	0.707533985801	0.939470241492	1.08397052924	-0.737068638051	-0.195513707409	-0.4148640815	1.62504980215	0.345292682445	2.84332898708	-0.190259842482	0.975005705242	1.7256111348	1.1793022727	1.29502048436	-0.0798040842131	-1.12212541542	-0.799113032143	-0.148051473365	0.201160981192	-0.369568550496	-0.994990336116	-1.77878251054	0.329704858619	1.80419646661	-0.241185268193	-1.54512935653	-0.533498614448	2.000661245	-0.0647270812881	-0.639698560417	0.635037658357	-0.740216158166	0.724580252952	0.587783006051	-1.07039148568	-1.19395958113	1.39903722978	0.73670376296	1.25017644143	-0.153030983821	-1.06678680572	-0.601540691969	-0.149416575997	0.599291799438	0.722234974407	1.53935159709	-0.825253720146	-1.60095900753	-0.446761561953	1.50255740313	0.904630571778	-0.533251131084	0.4223133193	-1.36914957709	0.305724270396	-2.27574144279	-1.77615250798	-0.205710916495	-1.41000849294	1.89843645682	-1.25870714969	0.266128174063	0.187118927957	-1.23483035981	-1.15485249143	-0.802323861094	1.60916811914	-0.54121303962	0.214642941445	-0.781470653199	0.0204569992364	-1.77900063379	0.418138052337	-0.594394942137	0.195527128141	-0.326585866116	0.957388878156	0.692791347754	-2.01110845175	0.567952205366	-1.22573763736	0.529957338184	0.330932585963	-0.16369564345	2.0513907368	-1.02416938222	0.149129497902	0.720611722422
g4	-1.09580162817	-1.08373579794	-0.796256920713	-0.611475023808	-0.553569068913	-0.507681020451	-0.401543218684	-0.114861141137	0.0277231729882	0.40116806381	0.492232684404	0.845216718772	1.04190405277	1.34720546392	1.41091564034	1.27637452573	-0.27593260869	0.278450763692	-0.556054629955	0.0567431376261	-0.346500708178	0.560231265413	-1.19503481676	-1.00251723676	1.02070550896	0.201673598903	-1.008465594	-1.00456717463	0.603606722393	-0.567080375798	1.60836909163	0.835239756192	0.147085423768	0.0336318315551	0.644050417343	-1.55848177366	-1.3328661188	0.51248395796	-0.439208235646	1.83574321089	-0.778432548169	0.0847928355325	0.983077931394	-1.69433980546	0.584937774888	-0.513834787466	-0.477258009753	0.0366041301054	1.42371637448	0.171797859361	2.07778135111	0.672557379346	-0.680858181349	0.460885553564	-0.375572456548	1.53521934637	-0.195411971613	0.280874604727	0.0265438377411	-1.35954547094	0.179475161457	-0.0591384161041	-0.183383272027	-0.150701211372	-0.0255717222616	-1.40165625513	-0.609487387066	0.817698425302	0.312343713521	0.575245529785	1.15092253789	1.26710761408	-0.131517868916	-1.37386551382	-0.75077740789	0.0522454436901	-0.150822713504	-0.938684365485	-0.652705113636	-1.14901927631	-1.34354349419	1.37429627758	-0.514176740052	-0.548692169964	1.24812452599	-0.155781511035	-0.0446022418358	-1.55792415919	-0.507224687829	2.26896623578	0.506553366053	-2.1630436911	-0.0822230022004	0.982954153305	0.042118460191	0.0993223859836	0.49229544789	0.940980757361	-1.19051845781	-0.580252605683
g5	-1.52251984769	-1.14128953684	-0.706542128974	-0.243561412769	-0.226274610488	-0.222256849195	-0.0271437378684	0.217022662525	0.249322909355	0.315269306807	0.414397388558	0.55131304056	0.745825543094	0.960506460229	1.33472639963	-1.14940580203	-0.363574088231	0.398826597786	1.38445258862	2.12901767907	1.30828242563	0.528815520987	0.803929337221	-0.342699815809	-0.698585883743	-0.230238598232	0.407006896336	2.73868842195	1.35400686561	0.0764405341023	-0.103274358164	0.297397221451	0.0535489962907	-0.406573930291	1.40432045474	-1.46430896493	1.33960126032	1.06977203393	-1.16767171706	-0.324268614542	0.76592970575	0.618175100433	1.42022478238	1.16184054057	1.43175637251	-2.27536290151	-0.914052774208	-0.887346724308	0.803717381149	-0.049655176645	0.54137094235	0.0763835244155	0.767842929385	0.215190807615	0.358099578854	-2.17568212588	0.824259378569	-1.31234393977	-1.32066191812	-1.23857856551	-0.420961073385	0.568608333707	-1.1983910991	-0.20323037045	0.169426760139	1.30081986423	-0.833094638573	0.0304212141076	-0.359771159997	0.413793788261	0.976322039494	-0.59631108512	0.742760823666	1.4009666457	0.539141737722	0.870700824542	-0.475877287825	0.509198725736	-1.206380793	-0.513497718704	-0.119790535431	0.886124390832	-0.659746096705	0.665440861571	-1.49221540518	-0.422288955825	-0.855932578889	-0.216725079237	-0.368308093445	-1.40794392171	0.108065517235	1.21835493744	-1.12156729738	-0.127830906747	-0.350980190167	0.548239880595	0.449601956274	1.65603511399	0.268901305538	-0.670740043232
g6	-1.78339975291	-1.74810397305	-1.16844709674	-1.08012026261	-0.732672713087	-0.483133842006	-0.371735395392	0.0775280555836	0.193926440384	0.472640386925	0.531655998508	0.727177954639	1.28879482717	1.69203929313	2.12183584114	-0.262812328916	-0.176277441881	-0.851666531847	-0.746319142077	0.838925712067	0.843311260365	-0.486979872556	-0.3766234836	-1.08999796934	0.164976818108	0.849645377774	1.08595040713	0.0749405220049	-1.42219041674	1.43948867368	-0.561793813946	-0.475684993814	0.529641665932	-0.496424552234	0.151856591458	1.16337838199	0.673377563369	0.472963602026	0.914766194977	1.14656677653	-1.14127101669	-0.290447495171	1.20131722694	-0.345411127743	0.264246412332	-1.06935756325	-0.169045592131	-0.0302827870231	-1.17682830776	1.38326394058	0.355756965488	1.3247271298	-0.824391656033	0.259231264589	-1.28255571413	-0.797574897206	0.747940134352	1.60286556315	-0.0971777233235	-2.32290568886	-0.452311351472	-1.88094563597	-1.253575801	1.39025779512	-1.47953463952	0.0203321419565	0.12424163095	-0.592351464511	-0.556331947858	0.405123509255	1.16455391692	-1.11341386244	0.29480323665	0.420349791599	0.481864023992	1.45181144439	1.27435475383	0.715327704932	0.810971511521	-0.162500524306	0.436072264472	0.0219888758257	2.32119336846	-1.15565633488	-0.686640768317	-0.570370580639	-0.436543776864	-1.32441470906	-0.934601877391	1.91520291507	0.00655689476808	-0.577166671214	-0.111576168276	-0.683384009351	-1.1105435686	0.41127680283	-2.82091583579	-0.277672356451	-1.15804599255	-0.599744073036
g7	-1.3906943855	-1.06267464797	-1.02411799759	-0.964828805682	-0.678780538415	-0.663730655098	-0.180905902515	-0.106284315602	0.0806088111207	0.100368032996	0.414740885142	0.453545491866	0.673276303138	1.34878906394	1.63405290848	0.299081719987	-0.094563032439	1.39926545801	0.00815939305447	-0.32762804161	-0.558582974412	0.652446160952	0.441756122621	2.04943028686	-1.44954102858	1.40125669734	0.141589967055	0.775962350359	-0.463790904175	-0.258126531871	-0.673895206443	-1.42027593026	-0.734599751736	1.02204613396	0.463778383897	-0.490347111521	1.16883562304	1.2383499372	-1.2974884944	-0.830897225779	-0.424511172314	1.91571451306	0.40869181795	0.506866742617	-2.03018071191	-1.19297280093	-0.682232717452	-0.157014460981	-0.555134210689	-0.505097781714	-1.42312058767	-1.47759850338	0.443803916877	-0.501497379352	-1.11433423707	-0.44671982998	-1.86747898665	-0.55531587328	-0.394600101192	1.08680391901	-2.42306418706	-0.0368395143212	-0.522818663461	0.0596427680079	-0.278644538021	-2.96413215448	0.0672617851965	-0.863157391991	-0.0391100420043	-0.484803597066	-0.636334118521	-0.103155834997	0.0858420439369	0.313596941393	0.983404016528	-1.14499007384	-1.14250257055	-1.28037157622	0.87806427922	0.199466439786	-0.604473583318	-1.06036684576	0.228881238479	1.27989468062	-0.771140889462	0.270741242292	0.718001684697	0.476220719394	0.0255864158707	2.23342463744	1.07469956553	-0.373948781852	2.1834294592	-0.724386016218	1.0950251813	-0.592407476669	-0.651795239157	-1.11836214301	1.53939088934	-1.62825683883
g8	-1.52796484044	-1.21417089097	-1.11093005141	-0.86440183835	-0.783791887439	-0.402558800932	-0.3105072967	-0.195905912197	-0.0412294344064	0.0635789821492	0.730445771201	1.21775646367	2.24975226499	2.35310960684	2.55731206876	-0.603021068154	0.115780018114	2.1200002401	0.150568298529	-1.32794413212	-0.566658119384	-1.27663670339	1.67905172445	-1.45755629362	-2.56573224756	-0.201187579961	0.510213471686	0.5857416564	1.78872027016	-0.113525860726	1.00410688734	-0.317409861067	0.21317320266	-0.354138714516	0.481516206984	-0.130484544626	0.52747562726	0.651311490866	1.6369583644	0.266980623722	-0.807408096303	-0.20860606674	0.342968218958	2.34909315244	0.438657686151	2.41038362246	0.527703945122	-1.00615508746	2.38314078626	-0.831012903192	1.45731765251	-0.452037246162	0.714691603806	1.15910769266	-0.48998387921	0.266131070706	-0.595325672411	0.00621328751466	0.0688194624714	-1.41247792171	-1.15107658512	1.58483832607	-0.252569468501	0.574983059909	1.5911824704	0.971355287122	0.490243724276	-0.149324238458	0.699053781121	1.3536233957	0.380911354311	2.16566962917	-1.07898436617	-1.78590010974	-0.118126104225	-0.620217679456	0.143108376705	-0.465718495237	0.0955022113857	-0.941991986634	-0.341057266063	1.76484308277	-0.956193169091	0.174236813445	1.3529708443	-0.375279441904	1.17516491694	1.52100354367	-1.02900981416	0.108955341671	0.365111650331	-0.446027936193	0.183819745144	-0.591526757234	-0.460400417519	0.40728286769	-0.211960745196	0.914497841595	-0.0434873754433	-1.03717427108
g9	-1.54912687616	-1.52664388427	-1.42345530586	-0.802537268401	-0.704113056137	-0.393665037788	-0.0703313135598	-0.0470871207583	0.281379818836	0.390357292435	0.553647911827	0.646003585071	0.840128032828	1.65516645432	2.0451951051	0.463047911546	-0.739989994185	0.989167464635	-0.202245708525	-0.596901085217	1.14594857433	-1.0616808418	1.18023260663	-0.98742568457	0.354194202872	0.147278369625	0.96725467752	0.52993292565	1.15209193686	0.80305156316	-1.46326480139	1.00659146829	-0.425597018733	0.277206290632	1.48113911731	0.539279403267	0.150838139965	-1.10552951953	-0.278102260519	1.38930547592	1.02737110105	-0.222913948973	-0.317065524742	-0.973814798648	-0.397652451588	-1.64340348101	0.17593864166	0.438069729494	0.535247615133	1.00779872796	-2.77572769032	-1.23170267429	-0.793338223974	-1.28374233384	-1.4511800218	-1.17350769928	-1.13993455775	-0.0395131466396	-1.40900865583	1.3909025751	0.849433415216	0.267659894976	0.511086453059	0.924969067438	1.16000033867	-0.934044731368	-1.21867195341	-0.751425428955	1.28816798023	3.06075739971	-0.833350647233	-0.991850140245	0.116185497219	-0.49528588034	-0.722772728888	-1.47488928509	0.109353371586	-0.287516603622	1.13329922821	0.114290256591	-0.361215288622	-0.535703031127	0.343873198783	-2.04640559319	-0.566640135415	0.558029135253	0.856929327322	-0.159342924216	-0.717764334191	-0.333653963422	-0.429319481204	0.217035177972	-0.559017675858	-0.120312639567	-1.93402732479	-0.294217218122	-0.425728952126	0.25018117395	-0.949126343619	1.53831996629
